date,cyclic_index,frame,lon_jupiter,lon_saturn,lon_uranus,lon_neptune,lon_pluto
1969-07-03,801.7090343036268,heliocentric,188.98189840164682,31.27523868467802,183.2970455289123,237.61185442837052,174.46399699352588
1969-07-10,802.2674574370402,heliocentric,189.51118039000897,31.523599469083884,183.38754474306708,237.65332677211217,174.50717897451716
1969-07-17,802.8255872420253,heliocentric,190.04062476925614,31.77225783173772,183.47823953011348,237.6949982086289,174.55057152513464
1969-07-24,803.3834338143126,heliocentric,190.5698004966574,32.02077768452853,183.56869417317836,237.7364330103346,174.59373891530714
1969-07-31,803.941006881937,heliocentric,191.09923329980504,32.269679907998764,183.6594298179155,237.77815234311802,174.63720229395577
1969-08-07,804.4983159553489,heliocentric,191.6283689636398,32.518405538599566,183.74988770738332,237.81959746797955,174.68040291534538
1969-08-14,805.0553706020447,heliocentric,192.1576194097434,32.767361712025625,183.8404752024381,237.86117575184085,174.72374814853626
1969-08-21,805.6121804949154,heliocentric,192.68667080638082,33.01622975768233,183.9308738878146,237.9025687811606,174.76691958240139
1969-08-28,806.168755370809,heliocentric,193.2159243590548,33.26540601398531,184.02148037468672,237.94417317063323,174.81031383029824
1969-09-04,806.7251049880113,heliocentric,193.74498348879007,33.51448902870435,184.11189348871153,237.9855877538595,174.85352971993956
1969-09-11,807.2812390964959,heliocentric,194.27411278978673,33.76373853084587,184.20237323363853,238.02707254745837,174.89682725815126
1969-09-18,807.8371674219827,heliocentric,194.8031504140673,34.01298782176608,184.29275317838812,238.0684611371194,174.9400400184293
1969-09-25,808.3928996728375,heliocentric,195.3323225581758,34.26245825624455,184.3832549408134,238.1099751586465,174.98338962415903
1969-10-02,808.9484455966424,heliocentric,195.86142941813858,34.511945167476085,184.47367412903114,238.15141023512945,175.02667168747078
1969-10-09,809.5038151000206,heliocentric,196.39056742821126,34.76154005022098,184.56410255580352,238.19285819146643,175.06997801944638
1969-10-16,810.0590182352754,heliocentric,196.91974377334427,35.011245096478845,184.65454276291317,238.23432159815582,175.11331115738352
1969-10-23,810.6140647810289,heliocentric,197.44897711221043,35.26107413282159,184.74500883978624,238.27581461205122,175.15668520092564
1969-10-30,811.1689640216982,heliocentric,197.97827714118492,35.511032266691224,184.8355060211302,238.31734255099335,175.20010541463796
1969-11-06,811.7237250415167,heliocentric,198.50756435878893,35.76103548869755,184.92595037810585,238.35882155588538,175.2434879052184
1969-11-13,812.2783569325433,heliocentric,199.03701523668428,36.011255745933276,185.016513947191,238.40042371833516,175.28700474281453
1969-11-20,812.8328688184461,heliocentric,199.56643613963934,36.26149485619619,185.10699864881525,238.44195100525738,175.33045787947748
1969-11-27,813.3872698362662,heliocentric,200.0960303600663,36.51195155366985,185.19760332757878,238.48360230204904,175.37404619031236
1969-12-04,813.9415691249116,heliocentric,200.62555259449508,36.76237597126813,185.2880782318582,238.5251278927064,175.41751995347755
1969-12-11,814.4957758249916,heliocentric,201.15533696065629,37.01309765719386,185.37875303113793,238.56685747637653,175.46120886734317
1969-12-18,815.049899092324,heliocentric,201.68500492324426,37.26373349289426,185.46924473878846,238.6084080882829,175.5047299724709
1969-12-25,815.6039481406392,heliocentric,202.2149144074501,37.514636784039695,185.55990681599786,238.65013320045682,175.54843675354763
1970-01-01,816.1579323483033,heliocentric,202.74468542065887,37.76542282996895,185.65035477019413,238.69164831712567,175.59194473366395
1970-01-08,816.7118613960813,heliocentric,203.27478741798913,38.01655623151167,185.74105349349978,238.73341832076804,175.63571880920486
1970-01-15,817.265745111094,heliocentric,203.80470797106085,38.26751965626546,185.83148597262237,238.774926210063,175.67924196931142
1970-01-22,817.8195930027891,heliocentric,204.3349106998369,38.518771992783314,185.92211132163104,238.81663113989407,175.72297334555313
1970-01-29,818.3734142740262,heliocentric,204.86492798908714,38.769841034658015,186.0124574871017,238.85806109440114,175.76644091181714
1970-02-05,818.9272181302442,heliocentric,205.39532931035802,39.02129164616009,186.10308950030705,238.89978112466744,175.8102097237433
1970-02-12,819.481013894197,heliocentric,205.92552470080236,39.27252919285631,186.1934129335218,238.94119681117715,175.85368537202473
1970-02-19,820.034810994674,heliocentric,206.4560356459826,39.52407043533034,186.2839447871862,238.98282515763282,175.89738487094806
1970-02-26,820.5886189366252,heliocentric,206.9863572098921,39.7754056760144,186.37417562725147,239.02415673170324,175.9407987972684
1970-03-05,821.1424472775514,heliocentric,207.51710944536183,40.027150181785515,186.4647210010025,239.06580708224578,175.98454270704642
1970-03-12,821.6963056127131,heliocentric,208.0476756021695,40.278682399047455,186.55495964839199,239.10715495072373,176.02799534748922
1970-03-19,822.2502035763263,heliocentric,208.57858979658195,40.530531621581375,186.64542117109698,239.1487299388924,176.07168632572981
1970-03-26,822.8041508852045,heliocentric,209.10935495564001,40.782195912058825,186.7356039667496,239.19003044012277,176.11511404110172
1970-04-02,823.3581574612135,heliocentric,209.64058160899702,41.03428083648488,186.82611399340868,239.2316624036283,176.1588844455337
1970-04-09,823.91223350102,heliocentric,210.1716732060142,41.28618476262187,186.91635007233103,239.27302465424015,176.20239634712246
1970-04-16,824.466389116944,heliocentric,210.70312822817172,41.53840116200697,187.00680608194457,239.314611113215,176.24614362090773
1970-04-23,825.0206339496403,heliocentric,211.23450119225723,41.790479782224246,187.09703204535154,239.3559718714882,176.289676306701
1970-04-30,825.5749773533341,heliocentric,211.7663333266746,42.042957211474835,187.18756476280294,239.39764379136994,176.33353122990266
1970-05-07,826.129428634128,heliocentric,212.29809647602994,42.29530066864952,187.27787166328122,239.43909435414128,176.37717584445772
1970-05-14,826.6839970922309,heliocentric,212.83020077720053,42.547915664698166,187.3683584719919,239.48072933363264,176.42101590001954
1970-05-21,827.2386919951879,heliocentric,213.3622982966747,42.8004496552759,187.4586728542063,239.52219644345715,176.464699087262
1970-05-28,827.793522550139,heliocentric,213.8948133303526,43.05332235392202,187.54923472160087,239.56391564382315,176.50864534518428
1970-06-04,828.3484978872216,heliocentric,214.42733286183878,43.30611619715712,187.6396266946088,239.60546960265972,176.55243732373057
1970-06-11,828.903627057324,heliocentric,214.9601310113127,43.5591007923938,187.73011855224908,239.64712814288126,176.59634483313815
1970-06-18,829.4589190580109,heliocentric,215.4930004960136,43.81206436305781,187.82049868738204,239.68867969350603,176.64015629745634
1970-06-25,830.0143829266167,heliocentric,216.02621750240834,44.06527857347391,187.9110389584494,239.73039613658915,176.68414360221524
1970-07-02,830.5700279125708,heliocentric,216.55951974246298,44.31847650715631,188.00147270640775,239.7720108273632,176.72804010638447
1970-07-09,831.125863449076,heliocentric,217.09301355639656,44.57175980219372,188.0919018617745,239.81362572573147,176.77194775539633
1970-07-16,831.6818986883777,heliocentric,217.6266634270014,44.825088393348125,188.18228656402152,239.85520102889325,176.81582671835767
1970-07-23,832.2381423510346,heliocentric,218.16058105372034,45.07856963304757,188.27273427337715,239.8968442533428,176.85978449849824
1970-07-30,832.7946030268041,heliocentric,218.69467481721657,45.33210759953077,188.3631491692257,239.93845961327426,176.903725317558
1970-08-06,833.351289356392,heliocentric,219.2288724200687,45.58562565541811,188.4534547496252,239.97997062357055,176.94757271002513
1970-08-13,833.9082100598406,heliocentric,219.76332224579622,45.839267798481764,188.54379518382126,240.02152145853654,176.9914708759307
1970-08-20,834.4653739274919,heliocentric,220.29796550826055,46.09297081796511,188.63410746386322,240.06304910681925,177.03535683336872
1970-08-27,835.0227898112104,heliocentric,220.8328878588449,46.34681590702584,188.7244730140729,240.10463498225144,177.07931202846532
1970-09-03,835.5804666214339,heliocentric,221.36784777450322,46.60055705241047,188.81464608016972,240.1460333131962,177.12309072457202
